trade_date,main_ts_code,main_open,main_high,main_low,main_close,main_settle,main_pre_close,main_pre_settle,main_change1,main_change2,main_vol,main_amount,main_oi,main_oi_chg,main_days_to_expiry,main_volume_share,main_oi_share,active_contract_count,second_main_ts_code,second_main_close,second_main_settle,second_main_oi,second_main_main_spread,near_ts_code,near_close,near_settle,near_days_to_expiry,main_near_spread,far_ts_code,far_close,far_settle,far_days_to_expiry,far_near_spread,annualized_carry,term_structure_slope,warehouse_receipt_total,warehouse_receipt_change,warehouse_count
2019-01-02,SC1903.INE,380.8,383.0,369.4,370.9,374.6,379.1,377.9,-7.0,-3.3,155324,5819221.74,47524,4304.0,57,0.9768682154941447,0.800795335827183,17,SC1904.INE,375.1,377.3,6618,4.2000000000000455,SC1902.INE,367.5,371.2,23,3.3999999999999773,SC2112.INE,420.0,420.0,1063,52.5,0.05013736263736261,0.04686438298841417,2724000.0,0.0,8.0
2019-01-03,SC1903.INE,370.9,397.3,370.2,385.4,384.3,370.9,374.6,10.8,9.7,612956,23557168.86,44910,-2614.0,56,0.9810278324610682,0.7987976237060226,17,SC1904.INE,386.7,385.6,6448,1.3000000000000114,SC1902.INE,379.8,379.3,22,5.599999999999966,SC2112.INE,420.0,420.0,1062,40.19999999999999,0.037147587799246574,0.03531020981559462,2724000.0,0.0,8.0
2019-01-04,SC1903.INE,391.4,401.8,386.2,398.0,393.9,385.4,384.3,13.7,9.6,661536,26058003.56,46186,1276.0,55,0.9826971526358321,0.7927838236808679,17,SC1904.INE,399.2,394.7,7886,1.1999999999999886,SC1902.INE,393.5,388.2,21,4.5,SC2112.INE,426.4,426.4,1061,32.89999999999998,0.029343417065780412,0.0281810902143024,2724000.0,0.0,8.0
2019-01-07,SC1903.INE,401.9,411.5,398.9,407.5,405.9,398.0,393.9,13.6,12.0,703896,28575200.48,46310,124.0,52,0.9872923434265228,0.7940127563267265,17,SC1904.INE,408.6,406.9,8440,1.1000000000000227,SC1902.INE,404.8,402.9,18,2.6999999999999886,SC2112.INE,437.3,443.1,1058,32.5,0.0281774950592885,0.027103475252548987,2724000.0,0.0,8.0
2019-01-08,SC1903.INE,409.1,415.5,402.7,405.5,409.1,407.5,405.9,-0.4,3.2,600078,24551490.38,46406,96.0,51,0.9879811254276579,0.7947049354385725,17,SC1904.INE,406.7,410.3,8624,1.1999999999999886,SC1902.INE,402.8,405.0,17,2.6999999999999886,SC2112.INE,443.1,443.1,1057,40.30000000000001,0.0351135799404171,0.03346604888151766,2724000.0,0.0,8.0
2019-01-09,SC1903.INE,409.0,419.8,407.3,416.3,412.2,405.5,409.1,7.2,3.1,557344,22973952.18,45180,-1226.0,50,0.9875472206275293,0.7929932951872785,17,SC1904.INE,417.2,413.6,8904,0.8999999999999773,SC1902.INE,417.0,410.4,16,-0.6999999999999886,SC2112.INE,444.2,444.2,1056,27.19999999999999,0.022892455266556016,0.02217679973697777,2724000.0,0.0,8.0
2019-01-10,SC1903.INE,419.5,428.9,416.5,421.5,422.3,416.3,412.2,9.3,10.1,636884,26898005.44,43364,-1816.0,49,0.9840392822157741,0.7872054605525904,17,SC1904.INE,424.4,423.5,9056,2.8999999999999773,SC1902.INE,422.0,421.8,15,-0.5,SC2112.INE,456.4,456.4,1055,34.39999999999998,0.02860918702150928,0.027502856675429507,2724000.0,0.0,8.0
2019-01-11,SC1903.INE,424.0,427.5,419.7,426.9,423.7,421.5,422.3,4.6,1.4,508960,21569394.62,48972,5608.0,48,0.987229024098816,0.8068938245567785,17,SC1904.INE,429.1,426.1,9202,2.2000000000000455,SC1902.INE,426.5,423.6,14,0.39999999999997726,SC2112.INE,456.4,456.4,1054,29.899999999999977,0.024604337631887453,0.023780189072604006,2724000.0,0.0,8.0
2019-01-14,SC1903.INE,426.5,426.5,412.5,414.8,419.7,426.9,423.7,-8.9,-4.0,606728,25469191.38,49450,478.0,45,0.9864052415093726,0.8004208481709291,17,SC1904.INE,417.1,421.7,9770,2.3000000000000114,SC1902.INE,408.2,415.6,11,6.600000000000023,SC2112.INE,456.4,456.4,1051,48.19999999999999,0.04144131835827082,0.039171648248504116,2724000.0,0.0,8.0
2019-01-15,SC1903.INE,416.1,420.2,413.1,416.3,416.2,414.8,419.7,-3.4,-3.5,506802,21097764.12,52220,2770.0,44,0.9883573986099085,0.8001348369698456,17,SC1904.INE,419.0,418.6,10382,2.6999999999999886,SC1902.INE,412.0,407.1,10,4.300000000000011,SC2112.INE,456.4,456.4,1050,44.39999999999998,0.037822068707991034,0.03591960389712873,2724000.0,0.0,8.0
2019-01-16,SC1903.INE,417.1,423.5,414.5,422.9,419.0,416.3,416.2,6.7,2.8,468574,19635912.22,51958,-262.0,43,0.9903328345464844,0.7970729911330654,17,SC1904.INE,426.0,422.2,10568,3.1000000000000227,SC1902.INE,419.9,415.9,9,3.0,SC2112.INE,456.4,456.4,1049,36.5,0.030507492626449532,0.029253707748737645,2724000.0,0.0,8.0
